时间,中国-确诊,武汉市-确诊,广州市-确诊,深圳市-确诊,浙江省-确诊,河南省-确诊,湖北省-确诊,广东省-确诊,安徽省-确诊,北京市-确诊,上海市-确诊,湖南省-确诊
2019-12-01,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-02,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-03,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-04,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-05,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-06,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-07,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-08,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-09,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-10,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-11,1,1,-,-,-,-,1,-,-,-,-,-
2019-12-12,4,4,-,-,-,-,4,-,-,-,-,-
2019-12-13,4,4,-,-,-,-,4,-,-,-,-,-
2019-12-14,4,4,-,-,-,-,4,-,-,-,-,-
2019-12-15,4,4,-,-,-,-,4,-,-,-,-,-
2019-12-16,6,6,-,-,-,-,6,-,-,-,-,-
2019-12-17,6,6,-,-,-,-,6,-,-,-,-,-
2019-12-18,7,7,-,-,-,-,7,-,-,-,-,-
2019-12-19,8,8,-,-,-,-,8,-,-,-,-,-
2019-12-20,9,9,-,-,-,-,9,-,-,-,-,-
2019-12-21,14,14,-,-,-,-,14,-,-,-,-,-
2019-12-22,18,18,-,-,-,-,18,-,-,-,-,-
2019-12-23,21,21,-,-,-,-,21,-,-,-,-,-
2019-12-24,29,29,-,-,-,-,29,-,-,-,-,-
2019-12-25,30,30,-,-,-,-,30,-,-,-,-,-
2019-12-26,33,33,-,-,-,-,33,-,-,-,-,-
2019-12-27,35,35,-,-,-,-,35,-,-,-,-,-
2019-12-28,37,37,-,-,-,-,37,-,-,-,-,-
2019-12-29,37,37,-,-,-,-,37,-,-,-,-,-
2019-12-30,37,37,-,-,-,-,37,-,-,-,-,-
2019-12-31,37,37,-,-,-,-,37,-,-,-,-,-
2020-01-01,40,40,-,-,-,-,40,-,-,-,-,-
2020-01-02,43,43,-,-,-,-,43,-,-,-,-,-
2020-01-03,44,44,-,-,-,-,44,-,-,-,-,-
2020-01-04,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-05,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-06,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-07,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-08,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-09,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-10,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-11,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-12,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-13,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-14,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-15,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-16,41,41,-,-,-,-,41,-,-,-,-,-
2020-01-17,45,45,-,-,-,-,45,-,-,-,-,-
2020-01-18,62,62,-,-,-,-,62,-,-,-,-,-
2020-01-19,121,121,-,-,-,-,121,-,-,-,-,-
2020-01-20,199,198,-,1,-,-,198,1,-,-,-,-
2020-01-21,290,258,-,-,0,-,270,14,0,5,1,-
2020-01-22,437,343,2,14,5,1,375,26,0,10,6,1
2020-01-23,575,405,5,15,10,5,444,32,1,14,16,4
2020-01-24,867,495,7,15,43,9,549,53,15,22,20,24
2020-01-25,1327,572,14,20,62,32,729,78,39,36,33,43
2020-01-26,1976,618,14,27,104,83,1052,98,60,54,40,69
2020-01-27,2765,698,41,36,128,128,1423,151,70,80,53,100
2020-01-28,4523,1590,51,57,173,168,2714,207,106,91,66,143
2020-01-29,5985,1905,63,80,296,206,3554,277,152,111,96,221
2020-01-30,7661,2261,94,98,428,278,4903,354,200,114,112,277
2020-01-31,9694,2639,112,134,538,352,5806,436,237,139,135,332
2020-02-01,11901,3215,150,170,599,422,7153,535,297,168,169,389
2020-02-02,14490,4109,179,207,661,493,9074,632,340,191,182,463
2020-02-03,17341,5142,200,245,724,566,11177,725,408,212,203,521
2020-02-04,20524,6384,224,271,829,675,13522,813,480,228,219,593
2020-02-05,24441,8351,249,291,895,764,16678,895,530,253,243,661
2020-02-06,28140,10117,270,316,954,851,19665,970,591,274,257,711
2020-02-07,31264,11618,285,339,1006,914,22112,1034,665,297,277,772
2020-02-08,34672,13603,301,354,1048,981,24953,1095,733,315,286,803
2020-02-09,37252,14982,304,364,1075,1033,27100,1120,779,326,293,838
2020-02-10,40224,16902,313,368,1092,1073,29631,1151,830,337,295,879
2020-02-11,42712,18454,317,375,1117,1105,31728,1177,860,342,302,912
