时间,中国-确诊,中国-死亡率,中国-死亡,中国-疑似,湖北省-确诊,湖北省-死亡率,湖北省-死亡,湖北省-疑似,武汉市-确诊,武汉市-死亡率,武汉市-死亡,武汉市-疑似,深圳市-确诊,深圳市-死亡率,深圳市-死亡,深圳市-疑似,广东省-确诊,广东省-死亡率,广东省-死亡,广东省-疑似
2019-12-01,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-02,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-03,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-04,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-05,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-06,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-07,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-08,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-09,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-10,1,0.0,0,0,1,0.0,0,0,1,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-11,4,0.0,0,0,4,0.0,0,0,4,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-12,4,0.0,0,0,4,0.0,0,0,4,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-13,4,0.0,0,0,4,0.0,0,0,4,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-14,4,0.0,0,0,4,0.0,0,0,4,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-15,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-16,6,0.0,0,0,6,0.0,0,0,6,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-17,7,0.0,0,0,7,0.0,0,0,7,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-18,8,0.0,0,0,8,0.0,0,0,8,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-19,9,0.0,0,0,9,0.0,0,0,9,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-20,14,0.0,0,0,14,0.0,0,0,14,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-21,18,0.0,0,0,18,0.0,0,0,18,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-22,21,0.0,0,0,21,0.0,0,0,21,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-23,29,0.0,0,0,29,0.0,0,0,29,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-24,30,0.0,0,0,30,0.0,0,0,30,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-25,33,0.0,0,0,33,0.0,0,0,33,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-26,35,0.0,0,0,35,0.0,0,0,35,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-27,37,0.0,0,0,37,0.0,0,0,37,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-28,37,0.0,0,0,37,0.0,0,0,37,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-29,37,0.0,0,0,37,0.0,0,0,37,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-30,37,0.0,0,0,37,0.0,0,0,37,0.0,0,0,-,-,-,-,-,-,-,-
2019-12-31,40,0.0,0,0,40,0.0,0,0,40,0.0,0,0,-,-,-,-,-,-,-,-
2020-01-01,43,0.0,0,0,43,0.0,0,0,43,0.0,0,0,-,-,-,-,-,-,-,-
2020-01-02,44,0.0,0,0,44,0.0,0,0,44,0.0,0,0,-,-,-,-,-,-,-,-
